m10.1,463061.788,2179329.818,215.115,m
m10.2,463047.517,2179334.825,215.694,m
m10.3,463082.203,2179386.371,214.691,m
m11.4,463093.566,2179464.264,215.753,m
m11.5,463069.779,2179515.925,212.663,m
m11.6,463104.066,2179516.158,215.318,m
tk1,463132.951,2179245.469,223.733,m
kp4,463400.659,2179501.763,215.356,m
tk5,463257.018,2179262.851,207.346,m
tk3,463265.616,2179271.607,201.560,m
tk7,463209.813,2179254.852,210.239,m
tk2,463085.722,2179246.500,223.731,m
wk1,463255.267,2179337.310,188.781,m
kp2,463433.374,2179470.754,215.344,m
kp3,463418.394,2179484.995,215.382,m
m1m,463229.333,2179378.092,221.216,m
kp1,463461.637,2179443.948,215.311,m
